cname,line,name,dae,plat,count
SKT,1,다대포해수욕장,6,6,12
SKT,1,다대포항,4,6,10
SKT,1,낫개,2,4,6
SKT,1,신장림,2,6,8
SKT,1,장림,3,6,9
SKT,1,동매,4,6,10
SKT,1,신평,1,4,5
SKT,1,하단,2,4,6
SKT,1,당리,3,4,7
SKT,1,사하,3,4,7
SKT,1,괴정,2,4,6
SKT,1,대티,3,2,5
SKT,1,서대신,2,2,4
SKT,1,동대신,2,4,6
SKT,1,토성,2,4,6
SKT,1,자갈치,4,4,8
SKT,1,남포,3,4,7
SKT,1,중앙,6,2,8
SKT,1,부산역,3,4,7
SKT,1,초량,2,4,6
SKT,1,부산진,2,4,6
SKT,1,좌천,2,4,6
SKT,1,범일,2,4,6
SKT,1,범내골,3,2,5
SKT,1,서면,1,4,5
SKT,1,부전,2,4,6
SKT,1,양정,2,4,6
SKT,1,시청,2,4,6
SKT,1,연산,2,4,6
SKT,1,교대,2,4,6
SKT,1,동래,2,4,6
SKT,1,명륜,2,4,6
SKT,1,온천장,2,4,6
SKT,1,부산대,2,4,6
SKT,1,장전,2,4,6
SKT,1,구서,2,4,6
SKT,1,두실,3,4,7
SKT,1,남산,2,4,6
SKT,1,범어사,2,4,6
SKT,1,노포,1,2,3
KT,1,다대포항,3,4,7
KT,1,장림,2,4,6
KT,1,동매,2,4,6
KT,1,신평,2,2,4
KT,1,하단,2,4,6
KT,1,당리,2,4,6
KT,1,사하,2,4,6
KT,1,괴정,2,4,6
KT,1,대티,2,4,6
KT,1,서대신,1,4,5
KT,1,동대신,2,4,6
KT,1,토성,2,4,6
KT,1,자갈치,2,4,6
KT,1,남포,2,4,6
KT,1,중앙,2,3,5
KT,1,부산역,3,4,7
KT,1,초량,2,4,6
KT,1,부산진,2,4,6
KT,1,좌천,2,4,6
KT,1,범일,3,4,7
KT,1,범내골,2,2,4
KT,1,서면,2,2,4
KT,1,부전,2,4,6
KT,1,양정,2,4,6
KT,1,시청,2,4,6
KT,1,연산,3,4,7
KT,1,교대,0,4,4
KT,1,동래,2,4,6
KT,1,명륜,2,4,6
KT,1,온천장,2,4,6
KT,1,부산대,2,4,6
KT,1,장전,2,4,6
KT,1,구서,2,4,6
KT,1,두실,2,4,6
KT,1,남산,2,4,6
KT,1,범어사,2,4,6
KT,1,노포,1,2,3
LGU+,1,다대포해수욕장,2,6,8
LGU+,1,낫개,2,6,8
